feature,mean_abs_shap
Glucose,0.07221543952629665
Glucose_x_BMI,0.07117128091168519
BMI_x_Age,0.04444299267981072
Age,0.03528294621222788
BMI,0.023818687671459494
Pregnancies,0.023238150581861513
DiabetesPedigreeFunction,0.01984259557537543
Pregnancies_div_Age,0.016153951526818016
Glucose_div_Age,0.013252218169546701
Insulin,0.009513126863870461
SkinThickness,0.009391111370610295
SkinThickness_div_BMI,0.006966092183694788
Insulin_div_Glucose,0.005202038895824014
BloodPressure,0.005173812748256792
